t,Empty,Young Plant,Small tree,Adult tree,fire,infect,ash,
80,1366,197,34,903,0,0,0,
81,1315,248,34,903,0,0,0,
82,1315,203,45,937,0,0,0,
83,1270,248,45,937,0,0,0,
84,1270,215,33,982,0,0,0,
85,1231,254,33,982,0,0,0,
86,1231,223,31,1015,0,0,0,
87,1186,268,31,1015,0,0,0,
88,1186,228,40,1046,0,0,0,
89,1143,271,40,1046,0,0,0,
90,1143,233,38,1086,0,0,0,
91,1098,278,38,1086,0,0,0,
92,1098,246,32,1124,0,0,0,
93,1058,286,32,1124,0,0,0,
94,1058,255,31,1156,0,0,0,
